Date,close_TIOc1,open_TIOc1,high_TIOc1,low_TIOc1
2023-05-15,106.77,106.77,106.77,106.77
2023-05-16,106.84,106.84,106.84,106.84
2023-05-17,107.38,107.38,107.38,107.38
2023-05-18,107.27,107.27,107.27,107.27
2023-05-19,107.1,107.1,107.1,107.1
2023-05-22,107.16,107.16,107.16,107.16
2023-05-23,106.54,106.54,106.54,106.54
2023-05-24,105.56,105.56,105.56,105.56
2023-05-25,105.6,105.6,105.6,105.6
2023-05-26,105.41,105.41,105.41,105.41
2023-05-30,105.2,105.2,105.2,105.2
2023-05-31,105.07,105.07,105.07,105.07
2023-06-01,104.5,104.5,104.5,104.5
2023-06-02,106.33,106.33,106.33,106.33
2023-06-05,107.38,107.38,107.38,107.38
2023-06-06,108.59,108.59,108.59,108.59
2023-06-07,109.18,109.18,109.18,109.18
2023-06-08,111.43,111.43,111.43,111.43
2023-06-09,112.96,112.96,112.96,112.96
2023-06-12,111.14,111.14,111.14,111.14
2023-06-13,112.45,112.45,112.45,112.45
2023-06-14,112.75,112.75,112.75,112.75
2023-06-15,112.93,112.93,112.93,112.93
2023-06-16,113.02,113.02,113.02,113.02
2023-06-20,113.08,113.08,113.08,113.08
2023-06-21,112.85,112.85,112.85,112.85
2023-06-22,112.85,112.85,112.85,112.85
2023-06-23,112.65,112.65,112.65,112.65
2023-06-26,112.46,112.46,112.46,112.46
2023-06-27,112.6,112.6,112.6,112.6
2023-06-28,112.64,112.64,112.64,112.64
2023-06-29,112.62,112.62,112.62,112.62
2023-06-30,112.57,112.57,112.57,112.57
2023-07-03,110.87,110.87,110.87,110.87
2023-07-05,111.84,111.84,111.84,111.84
2023-07-06,112.27,112.27,112.27,112.27
2023-07-07,110.54,110.54,110.54,110.54
2023-07-10,109.21,109.21,109.21,109.21
2023-07-11,109.34,109.34,109.34,109.34
2023-07-12,110.61,110.61,110.61,110.61
2023-07-13,110.95,110.95,110.95,110.95
2023-07-14,112.38,112.38,112.38,112.38
2023-07-17,111.81,111.81,111.81,111.81
2023-07-18,112.17,112.17,112.17,112.17
2023-07-19,112.08,112.08,112.08,112.08
2023-07-20,112.43,112.43,112.43,112.43
2023-07-21,112.47,112.47,112.47,112.47
2023-07-24,112.51,112.51,112.51,112.51
2023-07-25,112.72,112.72,112.72,112.72
2023-07-26,112.89,112.89,112.89,112.89
2023-07-27,112.9,112.9,112.9,112.9
2023-07-28,112.69,112.69,112.69,112.69
2023-07-31,112.46,112.46,112.46,112.46
2023-08-01,108.32,108.32,108.32,108.32
2023-08-02,107.41,107.41,107.41,107.41
2023-08-03,104.26,104.26,104.26,104.26
2023-08-04,105.18,105.18,105.18,105.18
2023-08-07,104.73,104.73,104.73,104.73
2023-08-08,104.41,104.41,104.41,104.41
2023-08-09,104.7,104.7,104.7,104.7
2023-08-10,104.6,104.6,104.6,104.6
2023-08-11,105.37,105.37,105.37,105.37
2023-08-14,104.63,104.63,104.63,104.63
2023-08-15,104.8,104.8,104.8,104.8
2023-08-16,104.81,104.81,104.81,104.81
2023-08-17,105.64,105.64,105.64,105.64
2023-08-18,106.1,106.1,106.1,106.1
2023-08-21,106.48,106.48,106.48,106.48
2023-08-22,106.77,106.77,106.77,106.77
2023-08-23,107.47,107.47,107.47,107.47
2023-08-24,107.82,107.82,107.82,107.82
2023-08-25,108.21,108.21,108.21,108.21
2023-08-28,108.31,108.31,108.31,108.31
2023-08-29,108.65,108.65,108.65,108.65
2023-08-30,108.99,108.99,108.99,108.99
2023-08-31,109.4,109.4,109.4,109.4
2023-09-01,118.19,118.19,118.19,118.19
2023-09-05,117.13,117.13,117.13,117.13
2023-09-06,118.97,118.97,118.97,118.97
2023-09-07,117.4,117.4,117.4,117.4
2023-09-08,116.9,116.9,116.9,116.9
2023-09-11,118.23,118.23,118.23,118.23
2023-09-12,120.33,120.33,120.33,120.33
2023-09-13,120.53,120.53,120.53,120.53
2023-09-14,120.56,120.56,120.56,120.56
2023-09-15,121.29,121.29,121.29,121.29
2023-09-18,122.2,122.2,122.2,122.2
2023-09-19,122.16,122.16,122.16,122.16
2023-09-20,121.83,121.83,121.83,121.83
2023-09-21,121.69,121.69,121.69,121.69
2023-09-22,121.33,121.33,121.33,121.33
2023-09-25,121.18,121.18,121.18,121.18
2023-09-26,120.93,120.93,120.93,120.93
2023-09-27,120.84,120.84,120.84,120.84
2023-09-28,120.84,120.84,120.84,120.84
2023-09-29,120.79,120.79,120.79,120.79
2023-10-02,120.14,120.14,120.14,120.14
2023-10-03,118.44,118.44,118.44,118.44
2023-10-04,118.03,118.03,118.03,118.03
2023-10-05,117.42,117.42,117.42,117.42
2023-10-06,117.74,117.74,117.74,117.74
2023-10-09,118.18,118.18,118.18,118.18
2023-10-10,117.4,117.4,117.4,117.4
2023-10-11,118.31,118.31,118.31,118.31
2023-10-12,117.42,117.42,117.42,117.42
2023-10-13,118.57,118.57,118.57,118.57
2023-10-16,119.25,119.25,119.25,119.25
2023-10-17,119.31,119.31,119.31,119.31
2023-10-18,119.01,119.01,119.01,119.01
2023-10-19,119.04,119.04,119.04,119.04
2023-10-20,118.65,118.65,118.65,118.65
2023-10-23,118.45,118.45,118.45,118.45
2023-10-24,118.19,118.19,118.19,118.19
2023-10-25,118.48,118.48,118.48,118.48
2023-10-26,118.45,118.45,118.45,118.45
2023-10-27,118.55,118.55,118.55,118.55
2023-10-30,118.7,118.7,118.7,118.7
2023-10-31,118.91,118.91,118.91,118.91
2023-11-01,122.33,122.33,122.33,122.33
2023-11-02,125.57,125.57,125.57,125.57
2023-11-03,126.15,126.15,126.15,126.15
2023-11-06,126.63,126.63,126.63,126.63
2023-11-07,125.95,125.95,125.95,125.95
2023-11-08,127.26,127.26,127.26,127.26
2023-11-09,127.38,127.38,127.38,127.38
2023-11-10,128.07,128.07,128.07,128.07
2023-11-13,128.34,128.34,128.34,128.34
2023-11-14,128.78,128.78,128.78,128.78
2023-11-15,129.25,129.25,129.25,129.25
2023-11-16,129.42,129.42,129.42,129.42
2023-11-17,128.95,128.95,128.95,128.95
2023-11-20,129.31,129.31,129.31,129.31
2023-11-21,129.55,129.55,129.55,129.55
2023-11-22,129.84,129.84,129.84,129.84
2023-11-24,130.16,130.16,130.16,130.16
2023-11-27,130.42,130.42,130.42,130.42
2023-11-28,130.4,130.4,130.4,130.4
2023-11-29,130.38,130.38,130.38,130.38
2023-11-30,130.46,130.46,130.46,130.46
2023-12-01,130.46,130.46,130.46,130.46
2023-12-04,130.46,130.46,130.46,130.46
2023-12-05,130.77,130.77,130.77,130.77
2023-12-06,132.92,132.92,132.92,132.92
2023-12-07,134.4,134.4,134.4,134.4
2023-12-08,135.45,135.45,135.45,135.45
2023-12-11,135.16,135.16,135.16,135.16
2023-12-12,135.66,135.66,135.66,135.66
2023-12-13,135.03,135.03,135.03,135.03
2023-12-14,135.22,135.22,135.22,135.22
2023-12-15,135.08,135.08,135.08,135.08
2023-12-18,134.61,134.61,134.61,134.61
2023-12-19,134.65,134.65,134.65,134.65
2023-12-20,134.85,134.85,134.85,134.85
2023-12-21,135.31,135.31,135.31,135.31
2023-12-22,135.52,135.52,135.52,135.52
2023-12-26,135.75,135.75,135.75,135.75
2023-12-27,136.07,136.07,136.07,136.07
2023-12-28,136.16,136.16,136.16,136.16
2023-12-29,136.37,136.37,136.37,136.37
2024-01-02,136.37,136.37,136.37,136.37
2024-01-03,144.16,144.16,144.16,144.16
2024-01-04,142.95,142.95,142.95,142.95
2024-01-05,141.45,141.45,141.45,141.45
2024-01-08,140.87,140.87,140.87,140.87
2024-01-09,140.52,140.52,140.52,140.52
2024-01-10,138.16,138.16,138.16,138.16
2024-01-11,138.85,138.85,138.85,138.85
2024-01-12,137.22,137.22,137.22,137.22
2024-01-16,136.75,136.75,136.75,136.75
2024-01-17,135.79,135.79,135.79,135.79
2024-01-18,136.08,136.08,136.08,136.08
2024-01-19,135.88,135.88,135.88,135.88
2024-01-22,135.42,135.42,135.42,135.42
2024-01-23,135.48,135.48,135.48,135.48
2024-01-24,135.49,135.49,135.49,135.49
2024-01-25,135.54,135.54,135.54,135.54
2024-01-26,135.55,135.55,135.55,135.55
2024-01-29,135.55,135.55,135.55,135.55
2024-01-30,135.61,135.61,135.61,135.61
2024-01-31,135.13,135.13,135.13,135.13
2024-02-01,132.67,132.67,132.67,132.67
2024-02-02,128.63,128.63,128.63,128.63
2024-02-05,128.94,128.94,128.94,128.94
2024-02-06,127.39,127.39,127.39,127.39
2024-02-07,127.03,127.03,127.03,127.03
2024-02-08,129.07,129.07,129.07,129.07
2024-02-09,128.75,128.75,128.75,128.75
2024-02-12,128.87,128.87,128.87,128.87
2024-02-13,129.02,129.02,129.02,129.02
2024-02-14,129.1,129.1,129.1,129.1
2024-02-15,129.17,129.17,129.17,129.17
2024-02-16,129.29,129.29,129.29,129.29
2024-02-20,127.92,127.92,127.92,127.92
2024-02-21,127.3,127.3,127.3,127.3
2024-02-22,127.82,127.82,127.82,127.82
2024-02-23,126.85,126.85,126.85,126.85
2024-02-26,126.11,126.11,126.11,126.11
2024-02-27,125.84,125.84,125.84,125.84
2024-02-28,125.36,125.36,125.36,125.36
2024-02-29,124.86,124.86,124.86,124.86
2024-03-01,113.89,113.89,113.89,113.89
2024-03-04,116.94,116.94,116.94,116.94
2024-03-05,116.21,116.21,116.21,116.21
2024-03-06,116.96,116.96,116.96,116.96
2024-03-07,117.96,117.96,117.96,117.96
2024-03-08,117.05,117.05,117.05,117.05
2024-03-11,113.0,113.0,113.0,113.0
2024-03-12,113.15,113.15,113.15,113.15
2024-03-13,111.77,111.77,111.77,111.77
2024-03-14,110.94,110.94,110.94,110.94
2024-03-15,109.61,109.61,109.61,109.61
2024-03-18,110.47,110.47,110.47,110.47
2024-03-19,110.71,110.71,110.71,110.71
2024-03-20,110.29,110.29,110.29,110.29
2024-03-21,110.94,110.94,110.94,110.94
2024-03-22,110.64,110.64,110.64,110.64
2024-03-25,110.67,110.67,110.67,110.67
2024-03-26,110.28,110.28,110.28,110.28
2024-03-27,109.84,109.84,109.84,109.84
2024-03-28,109.53,109.53,109.53,109.53
2024-04-01,102.33,102.33,102.33,102.33
2024-04-02,102.91,102.91,102.91,102.91
2024-04-03,100.41,100.41,100.41,100.41
2024-04-04,99.89,99.89,99.89,99.89
2024-04-05,99.97,99.97,99.97,99.97
2024-04-08,102.68,102.68,102.68,102.68
2024-04-09,104.33,104.33,104.33,104.33
2024-04-10,104.02,104.02,104.02,104.02
2024-04-11,104.71,104.71,104.71,104.71
2024-04-12,106.05,106.05,106.05,106.05
2024-04-15,106.05,106.05,106.05,106.05
2024-04-16,106.07,106.07,106.07,106.07
2024-04-17,107.3,107.3,107.3,107.3
2024-04-18,107.95,107.95,107.95,107.95
2024-04-19,108.25,108.25,108.25,108.25
2024-04-22,108.62,108.62,108.62,108.62
2024-04-23,108.76,108.76,108.76,108.76
2024-04-24,109.23,109.23,109.23,109.23
2024-04-25,109.68,109.68,109.68,109.68
2024-04-26,110.16,110.16,110.16,110.16
2024-04-29,110.54,110.54,110.54,110.54
2024-04-30,110.91,110.91,110.91,110.91
2024-05-01,117.21,117.21,117.21,117.21
2024-05-02,118.08,118.08,118.08,118.08
2024-05-03,118.03,118.03,118.03,118.03
2024-05-06,119.56,119.56,119.56,119.56
2024-05-07,118.69,118.69,118.69,118.69
2024-05-08,116.59,116.59,116.59,116.59
2024-05-09,116.96,116.96,116.96,116.96
2024-05-10,116.93,116.93,116.93,116.93
2024-05-13,117.31,117.31,117.31,117.31
2024-05-14,116.65,116.65,116.65,116.65
2024-05-15,116.3,116.3,116.3,116.3
2024-05-16,116.85,116.85,116.85,116.85
2024-05-17,117.02,117.02,117.02,117.02
2024-05-20,117.24,117.24,117.24,117.24
2024-05-21,117.57,117.57,117.57,117.57
2024-05-22,117.64,117.64,117.64,117.64
2024-05-23,117.53,117.53,117.53,117.53
2024-05-24,117.66,117.66,117.66,117.66
2024-05-28,117.68,117.68,117.68,117.68
2024-05-29,117.74,117.74,117.74,117.74
2024-05-30,117.62,117.62,117.62,117.62
2024-05-31,117.52,117.52,117.52,117.52
2024-06-03,110.1,110.1,110.1,110.1
2024-06-04,107.69,107.69,107.69,107.69
2024-06-05,107.02,107.02,107.02,107.02
2024-06-06,108.5,108.5,108.5,108.5
2024-06-07,108.48,108.48,108.48,108.48
2024-06-10,107.38,107.38,107.38,107.38
2024-06-11,106.27,106.27,106.27,106.27
2024-06-12,106.42,106.42,106.42,106.42
2024-06-13,107.12,107.12,107.12,107.12
2024-06-14,107.33,107.33,107.33,107.33
2024-06-17,107.05,107.05,107.05,107.05
2024-06-18,107.11,107.11,107.11,107.11
2024-06-20,107.15,107.15,107.15,107.15
2024-06-21,106.96,106.96,106.96,106.96
2024-06-24,106.55,106.55,106.55,106.55
2024-06-25,106.46,106.46,106.46,106.46
2024-06-26,106.56,106.56,106.56,106.56
2024-06-27,106.51,106.51,106.51,106.51
2024-06-28,106.51,106.51,106.51,106.51
2024-07-01,108.0,108.0,108.0,108.0
2024-07-02,110.32,110.32,110.32,110.32
2024-07-03,113.06,113.06,113.06,113.06
2024-07-05,111.31,111.31,111.31,111.31
2024-07-08,110.02,110.02,110.02,110.02
2024-07-09,110.51,110.51,110.51,110.51
2024-07-10,108.74,108.74,108.74,108.74
2024-07-11,109.58,109.58,109.58,109.58
2024-07-12,109.58,109.58,109.58,109.58
2024-07-15,109.67,109.67,109.67,109.67
2024-07-16,109.39,109.39,109.39,109.39
2024-07-17,108.94,108.94,108.94,108.94
2024-07-18,108.73,108.73,108.73,108.73
2024-07-19,108.45,108.45,108.45,108.45
2024-07-22,108.16,108.16,108.16,108.16
2024-07-23,107.79,107.79,107.79,107.79
2024-07-24,107.47,107.47,107.47,107.47
2024-07-25,107.14,107.14,107.14,107.14
2024-07-26,106.86,106.86,106.86,106.86
2024-07-29,106.59,106.59,106.59,106.59
2024-07-30,106.25,106.25,106.25,106.25
2024-07-31,105.94,105.94,105.94,105.94
2024-08-01,102.83,102.83,102.83,102.83
2024-08-02,104.0,104.0,104.0,104.0
2024-08-05,104.18,104.18,104.18,104.18
2024-08-06,102.86,102.86,102.86,102.86
2024-08-07,101.71,101.71,101.71,101.71
2024-08-08,100.75,100.75,100.75,100.75
2024-08-09,101.26,101.26,101.26,101.26
2024-08-12,100.67,100.67,100.67,100.67
2024-08-13,100.44,100.44,100.44,100.44
2024-08-14,99.2,99.2,99.2,99.2
2024-08-15,98.55,98.55,98.55,98.55
2024-08-16,97.81,97.81,97.81,97.81
2024-08-19,98.1,98.1,98.1,98.1
2024-08-20,97.99,97.99,97.99,97.99
2024-08-21,98.38,98.38,98.38,98.38
2024-08-22,98.19,98.19,98.19,98.19
2024-08-23,98.05,98.05,98.05,98.05
2024-08-26,98.3,98.3,98.3,98.3
2024-08-27,98.45,98.45,98.45,98.45
2024-08-28,98.51,98.51,98.51,98.51
2024-08-29,98.63,98.63,98.63,98.63
2024-08-30,98.7,98.7,98.7,98.7
2024-09-03,100.55,100.55,100.55,100.55
2024-09-04,92.93,92.93,92.93,92.93
2024-09-05,91.3,91.3,91.3,91.3
2024-09-06,91.61,91.61,91.61,91.61
2024-09-09,91.76,91.76,91.76,91.76
2024-09-10,91.28,91.28,91.28,91.28
2024-09-11,92.3,92.3,92.3,92.3
2024-09-12,93.06,93.06,93.06,93.06
2024-09-13,92.26,92.26,92.26,92.26
2024-09-16,91.94,91.94,91.94,91.94
2024-09-17,91.98,91.98,91.98,91.98
2024-09-18,91.57,91.57,91.57,91.57
2024-09-19,92.03,92.03,92.03,92.03
2024-09-20,91.93,91.93,91.93,91.93
2024-09-23,91.6,91.6,91.6,91.6
2024-09-24,91.88,91.88,91.88,91.88
2024-09-25,92.25,92.25,92.25,92.25
2024-09-26,92.54,92.54,92.54,92.54
2024-09-27,92.98,92.98,92.98,92.98
2024-09-30,93.83,93.83,93.83,93.83
2024-10-01,108.74,108.74,108.74,108.74
2024-10-02,109.29,109.29,109.29,109.29
2024-10-03,108.31,108.31,108.31,108.31
2024-10-04,108.84,108.84,108.84,108.84
2024-10-07,112.39,112.39,112.39,112.39
2024-10-08,106.3,106.3,106.3,106.3
2024-10-09,106.53,106.53,106.53,106.53
2024-10-10,105.81,105.81,105.81,105.81
2024-10-11,106.44,106.44,106.44,106.44
2024-10-14,107.11,107.11,107.11,107.11
2024-10-15,106.63,106.63,106.63,106.63
2024-10-16,106.2,106.2,106.2,106.2
2024-10-17,105.36,105.36,105.36,105.36
2024-10-18,105.37,105.37,105.37,105.37
2024-10-21,105.23,105.23,105.23,105.23
2024-10-22,104.94,104.94,104.94,104.94
2024-10-23,104.62,104.62,104.62,104.62
2024-10-24,104.4,104.4,104.4,104.4
2024-10-25,104.23,104.23,104.23,104.23
2024-10-28,104.15,104.15,104.15,104.15
2024-10-29,104.09,104.09,104.09,104.09
2024-10-30,104.08,104.08,104.08,104.08
2024-10-31,103.78,103.78,103.78,103.78
2024-11-01,102.49,102.49,102.49,102.49
2024-11-04,103.91,103.91,103.91,103.91
2024-11-05,105.09,105.09,105.09,105.09
2024-11-06,104.01,104.01,104.01,104.01
2024-11-07,105.22,105.22,105.22,105.22
2024-11-08,103.82,103.82,103.82,103.82
2024-11-11,103.1,103.1,103.1,103.1
2024-11-12,102.96,102.96,102.96,102.96
2024-11-13,102.88,102.88,102.88,102.88
2024-11-14,102.22,102.22,102.22,102.22
2024-11-15,101.63,101.63,101.63,101.63
2024-11-18,101.76,101.76,101.76,101.76
2024-11-19,101.89,101.89,101.89,101.89
